join_cohort_month,is_multiple_renter,nps_score,total_responses,promoters,passives,detractors,promoters_minus_detractors
2017-12,False,40.0,10.0,4.0,6.0,0.0,4.0
2017-12,True,50.0,14.0,9.0,3.0,2.0,7.0
2018-01,False,5.555555555555555,18.0,7.0,5.0,6.0,1.0
2018-01,True,-25.0,48.0,12.0,12.0,24.0,-12.0
2018-02,False,5.0,20.0,9.0,3.0,8.0,1.0
2018-02,True,23.577235772357724,123.0,61.0,30.0,32.0,29.0
2018-03,False,28.57142857142857,21.0,12.0,3.0,6.0,6.0
2018-03,True,20.85308056872038,211.0,85.0,85.0,41.0,44.0
2018-04,False,33.33333333333333,24.0,13.0,6.0,5.0,8.0
2018-04,True,-3.125,96.0,34.0,25.0,37.0,-3.0
2018-05,False,-4.918032786885246,61.0,18.0,22.0,21.0,-3.0
2018-05,True,37.91469194312796,211.0,122.0,47.0,42.0,80.0
2018-06,False,-25.581395348837212,43.0,9.0,14.0,20.0,-11.0
2018-06,True,25.321888412017167,233.0,105.0,82.0,46.0,59.0
2018-07,False,0.0,30.0,11.0,8.0,11.0,0.0
2018-07,True,13.28125,128.0,47.0,51.0,30.0,17.0
2018-08,False,-3.0303030303030303,33.0,10.0,12.0,11.0,-1.0
2018-08,True,37.89473684210527,190.0,104.0,54.0,32.0,72.0
2018-09,False,-6.896551724137931,29.0,8.0,11.0,10.0,-2.0
2018-09,True,30.76923076923077,156.0,80.0,44.0,32.0,48.0
2018-10,False,2.3255813953488373,43.0,17.0,10.0,16.0,1.0
2018-10,True,34.516129032258064,310.0,171.0,75.0,64.0,107.0
2018-11,False,-15.492957746478872,71.0,20.0,20.0,31.0,-11.0
2018-11,True,46.41350210970464,237.0,139.0,69.0,29.0,110.0
2018-12,False,16.923076923076923,65.0,30.0,16.0,19.0,11.0
2018-12,True,38.3248730964467,394.0,214.0,117.0,63.0,151.0
2019-01,False,29.310344827586203,58.0,30.0,15.0,13.0,17.0
2019-01,True,37.80918727915194,283.0,165.0,60.0,58.0,107.0
2019-02,False,2.0,50.0,19.0,13.0,18.0,1.0
2019-02,True,42.57425742574257,303.0,185.0,62.0,56.0,129.0
2019-03,False,5.05050505050505,99.0,40.0,24.0,35.0,5.0
2019-03,True,31.8,500.0,259.0,141.0,100.0,159.0
2019-04,False,22.22222222222222,108.0,49.0,34.0,25.0,24.0
2019-04,True,19.917864476386036,487.0,228.0,128.0,131.0,97.0
2019-05,False,15.602836879432624,141.0,63.0,37.0,41.0,22.0
2019-05,True,31.801470588235293,544.0,294.0,129.0,121.0,173.0
2019-06,False,6.557377049180328,122.0,50.0,30.0,42.0,8.0
2019-06,True,27.93733681462141,383.0,194.0,102.0,87.0,107.0
2019-07,False,0.0,94.0,35.0,24.0,35.0,0.0
2019-07,True,33.33333333333333,447.0,245.0,106.0,96.0,149.0
